clean_products,clean_current_price,clean_old_price,clean_discount_percentage,clean_reviews_count,clean_rating_out_of 5
Christmas Fence Garden Decorations Outdoor For Holiday Home,KSh699.00 ,"KSh1,343.00 ",43%,,
Classic Black Cat Cotton Hemp Pillow Case For Home Car,KSh171.00 ,KSh360.00 ,43%,2,5.0
Creative Owl Shape Keychain Black,KSh199.00 ,KSh504.00 ,43%,,
Creative Owl Shape Keychain Black,KSh176.00 ,KSh345.00 ,43%,,
Cushion Silicone Butt Cushion Summer Ice Cushion Honeycomb Gel Cushion,"KSh1,732.00 ","KSh1,799.00 ",42%,,
Cute Christmas Fence Garden Decorations For Holiday Home,KSh799.00 ,"KSh1,343.00 ",42%,,
Desk Foldable Fan Adjustable Fan Strong Wind 3 Gear Usb,KSh988.00 ,"KSh1,580.00 ",42%,2,4.0
"Diy File Folder, Office Drawer File Holder, Pen Holder, Desktop Storage Rack","KSh1,620.00 ","KSh2,690.00 ",42%,1,5.0
"Electric Led Uv Mosquito Killer Lamp, Outdoor/Indoor Fly Killer Trap Light -Usb","KSh1,570.00 ","KSh2,988.00 ",42%,7,2.1
Electronic Digital Display Vernier Caliper,KSh420.00 ,KSh647.00 ,42%,49,4.6
Exfoliate And Exfoliate Face Towel - Black,KSh185.00 ,KSh382.00 ,41%,9,4.3
Foldable Overbed Table/Desk,"KSh1,650.00 ","KSh2,150.00 ",41%,14,4.4
Genebre 115 In 1 Screwdriver Repairing Tool Set For Iphone Cellphone Hand Tool,KSh799.00 ,KSh999.00 ,41%,12,4.1
Household Pineapple Peeler Peeler,KSh330.00 ,KSh647.00 ,40%,1,4.0
Intelligent Led Body Sensor Wireless Lighting Night Light Usb,KSh325.00 ,KSh680.00 ,4%,15,2.7
"Konka Healty Electric Kettle, 24-Hour Heat Preservation,1.5L,800W, White","KSh3,640.00 ","KSh4,588.00 ",4%,1,5.0
Large Lazy Inflatable Sofa Chairs Pvc Lounger Seat Bag,"KSh2,300.00 ","KSh3,240.00 ",39%,5,3.0
Lasa 3 Tier Bamboo Shoe Bench Storage Shelf,"KSh2,048.00 ","KSh4,500.00 ",38%,7,4.3
Lasa Aluminum Folding Truck Hand Cart - 68Kg Max,"KSh2,025.00 ","KSh3,971.00 ",38%,3,5.0
